 ,Id,Location,Area,Region,Number_of_Rooms,House_Type,House_Price,isSold,Sold_Date,Distance_from_City_inMiles,Seller,PostalCode,Number_of_Bedrooms,Number_of_Bathrooms,Number_of_CarParkings,_of_Land_inMeters,Height_of_Building_inMeters,Year_Built,Lattitude,Longtitude
15,4339,76,16,1,2,duplex,540000,1,03-12-2016,2.3,3,63,2,1,1,0,65,1970,-37.7994,144.9464
16,7411,139,5,2,5,other,2000000,0,25-02-2017,12.7,22,5,4,3,4,697,,2005,-37.8664,144.8416
17,7681,25,7,3,3,other,1861000,1,13-05-2017,7.8,9,24,3,2,2,324,,,-37.8418,145.0916
18,9084,154,24,2,3,other,600000,1,03-06-2017,14.8,12,100,3,1,3,406,196,2005,-37.72484,144.74296
19,4344,76,16,1,2,townhouse,841000,1,04-03-2017,2.3,3,63,2,1,1,215,0,2000,-37.7953,144.9437
20,6439,103,15,1,3,other,1000000,1,04-03-2017,14.9,137,81,3,2,2,739,,,-37.7104,145.0817
21,11455,75,2,2,4,other,950000,0,15-07-2017,10.4,2,2,4,1,2,558,148,1970,-37.73834,144.88197
22,9453,21,13,1,3,other,1925000,0,17-06-2017,5.2,47,20,3,1,4,479,182,1925,-37.77694,144.96669
23,7655,23,14,4,3,other,794000,1,20-05-2017,11.8,12,22,3,1,0,353,,,-37.7618,145.0847
24,2980,51,13,1,4,other,700000,1,10-09-2016,12.1,12,44,2,2,2,700,168,1950,-37.7056,144.9384
25,12012,169,28,5,3,other,655000,0,29-07-2017,38,128,115,3,2,1,680,,,-38.14016,145.13583
26,6031,96,18,2,3,other,650000,0,14-05-2016,13.3,166,77,3,1,1,611,,,-37.7724,144.8413
27,950,16,9,3,3,townhouse,670000,0,27-11-2016,13.9,70,15,3,1,2,233,,,-37.9376,145.0784
28,12984,48,20,3,3,other,1390000,0,19-08-2017,7.3,3,43,3,2,1,303,150,1940,-37.85678,145.05555
29,1282,21,13,1,2,other,1100000,1,10-09-2016,5.2,2,20,2,1,0,153,,1900,-37.7705,144.9647
30,13104,144,20,4,3,other,800000,1,23-09-2017,23.2,28,95,3,2,5,931,,,-37.82534,145.29921
31,9529,41,2,2,4,townhouse,970000,1,17-06-2017,7.5,2,38,4,2,2,0,142,2003,-37.74541,144.89844
32,6279,100,4,1,2,other,1085000,1,15-10-2016,6.5,2,79,2,1,2,303,102,1930,-37.7569,144.9914
33,8439,98,7,3,2,other,1250000,0,20-05-2017,11.2,45,59,2,2,1,323,96,1980,-37.823,145.0993
34,1121,19,12,3,4,other,2800000,1,18-03-2017,11.2,1,18,4,2,4,569,229,1910,-37.8962,145.0011
35,526,13,7,3,3,other,700000,0,07-05-2016,9.7,9,12,3,1,1,188,110,1970,-37.8065,145.065
36,5843,93,3,3,2,duplex,575000,1,18-06-2016,6.1,21,76,2,2,1,0,78,2013,-37.8562,144.9844
37,6546,105,5,2,3,other,1482500,1,27-06-2016,8,31,83,3,2,1,506,139,1910,-37.8592,144.888
38,11367,168,10,4,2,other,1020000,1,15-07-2017,15.4,43,114,2,1,1,581,116.4,1970,-37.84207,145.17795
39,7381,135,5,2,3,other,985000,1,12-06-2016,9.1,36,62,3,1,5,669,124,1950,-37.8321,144.8736
40,2164,37,14,4,2,duplex,522500,1,18-06-2016,13.9,41,34,2,1,1,145,,,-37.7874,145.1043
41,3148,54,7,3,3,other,2325000,1,10-09-2016,4.6,3,47,3,2,1,373,,,-37.8281,145.0391
42,12656,226,20,5,4,townhouse,1830000,1,16-09-2017,27,19,152,4,3,2,353,222,2004,-38.06189,145.11766
43,2876,49,13,1,3,other,670000,1,06-08-2016,13,52,44,3,1,1,652,,,-37.7062,144.9261
44,2607,45,1,1,3,other,1300000,1,27-11-2016,3.5,19,31,3,1,0,309,,,-37.776,144.9832
45,1204,20,12,3,5,other,1915000,1,13-08-2016,10.7,21,19,5,2,0,645,238,1970,-37.9175,145.0116
46,12030,54,7,3,2,duplex,840000,1,29-07-2017,5.3,46,47,2,1,1,974,,1960,-37.81494,145.01744
47,491,12,3,3,1,duplex,280000,0,07-05-2016,6.6,19,11,1,1,1,0,,,-37.8733,144.997
48,7996,57,8,3,3,townhouse,998000,1,08-04-2017,13,43,49,3,2,2,246,,2000,-37.9031,145.0804
49,10156,21,13,1,3,other,1700000,0,27-05-2017,5.2,2,20,3,2,0,200,,,-37.77494,144.9697
50,10725,62,7,3,3,townhouse,1205000,1,08-07-2017,5.4,240,53,3,2,2,257,,,-37.81317,145.05993
51,7088,123,4,1,3,duplex,480000,0,03-12-2016,12.4,110,93,3,2,1,218,110,2004,-37.7133,145.0374
52,521,13,7,3,5,other,2800000,0,04-06-2016,9.7,9,12,5,3,2,678,349,2001,-37.8048,145.0708
53,4544,79,17,5,4,other,876000,1,04-02-2016,14.7,21,65,4,2,1,535,,,-37.9384,145.0878
54,7259,127,11,2,2,other,705000,1,22-05-2016,8.2,33,56,2,1,1,308,,,-37.7908,144.8717
55,6970,119,7,3,2,other,1585000,1,10-12-2016,7.5,3,91,2,1,2,390,102,1935,-37.8322,145.0486
56,3848,67,6,3,1,duplex,350000,0,10-12-2016,11.2,20,57,1,1,1,0,117,1975,-37.8769,145.0471
57,6798,112,13,1,3,other,910000,1,24-09-2016,4.5,3,86,2,1,1,231,,1900,-37.7759,144.976
58,5078,85,4,1,3,townhouse,530000,0,08-10-2016,11.2,2,71,3,2,1,229,130,2008,-37.7036,145.0145
59,7465,8,2,2,2,other,1020000,0,13-05-2017,5.9,2,8,2,1,1,226,98,1920,-37.7761,144.9165
60,6765,112,13,1,2,duplex,675000,1,04-03-2017,4.5,2,86,2,2,1,0,,,-37.7753,144.9725
61,7532,16,9,3,4,other,1292000,1,29-04-2017,13.9,46,15,4,1,2,587,161,1950,-37.9194,145.057
62,2865,48,6,3,2,duplex,460000,0,30-07-2016,9.2,19,43,2,1,1,0,,,-37.8578,145.0537
63,2252,39,9,3,3,other,1605000,1,27-11-2016,8.5,1,36,3,1,1,418,152,1890,-37.8831,145.0153
64,457,11,2,2,3,other,725000,0,15-10-2016,10.5,55,10,3,1,4,606,,,-37.752,144.854
65,1868,32,8,3,3,other,992000,1,15-10-2016,13.6,44,30,3,1,2,586,,,-37.8805,145.0978
66,12240,20,20,3,4,other,2515000,1,03-09-2017,10.3,9,19,4,2,2,583,323,1925,-37.90953,145.0155
67,6823,115,16,1,3,other,1590000,0,07-05-2016,1.8,46,88,2,2,2,100,106,1900,-37.7983,144.9655
68,4230,74,5,2,3,other,776000,1,12-11-2016,8.4,22,62,3,1,3,363,,,-37.8476,144.8673
69,48,2,2,2,2,townhouse,450000,1,07-05-2016,13.5,12,2,2,1,1,110,90,2015,-37.7216,144.871
70,1471,23,14,4,3,other,990000,0,06-08-2016,11.8,12,22,3,2,1,585,180,1950,-37.7689,145.099
71,7980,55,15,4,3,townhouse,601000,1,20-05-2017,10.5,45,48,3,2,2,200,,,-37.7399,145.054
72,6224,99,14,4,4,other,975000,1,19-11-2016,13.8,45,78,4,2,2,953,,,-37.7625,145.1256
73,9251,192,8,4,3,townhouse,1011000,1,03-06-2017,14.2,28,131,3,2,2,297,135,2001,-37.8605,145.12853
74,5921,94,2,2,3,townhouse,600000,0,28-08-2016,9.7,2,39,4,3,2,717,,,-37.7234,144.9077
75,8148,75,2,2,3,other,935000,1,06-05-2017,11.2,54,2,3,1,2,657,,,-37.7356,144.8859
76,12578,196,20,5,4,other,1630000,1,09-09-2017,21.5,42,130,4,2,2,554,,,-37.99323,145.0744
77,5847,93,3,3,5,other,4400000,1,19-11-2016,6.1,9,76,5,4,4,657,312,1900,-37.8582,144.9913
78,12228,16,20,3,4,other,1216000,1,03-09-2017,13.8,3,15,4,1,2,583,,,-37.93206,145.07929
79,8290,85,4,1,3,other,1010000,1,06-05-2017,11.2,12,71,3,1,2,649,,,-37.7258,145.0113
80,8675,92,5,2,1,duplex,380000,1,08-04-2017,7.7,33,62,1,1,1,89,37,1980,-37.8291,144.8848
81,8252,83,6,3,1,other,860000,0,22-04-2017,4.5,19,69,1,1,0,108,54,1905,-37.8508,145.0051
82,3025,52,12,3,3,other,1560000,0,04-03-2017,13.7,42,46,3,1,3,593,125,1955,-37.9399,145.0204
83,8925,83,6,3,2,duplex,1240000,1,01-07-2017,4.6,203,69,2,1,1,0,,,-37.85417,145.00929
84,5607,90,6,3,1,duplex,370000,0,07-05-2016,3.3,9,74,1,1,1,0,,,-37.8423,144.997
85,3641,62,7,3,4,other,2075000,1,18-06-2016,5.6,7,53,4,2,2,764,,,-37.8046,145.0595
86,12051,61,16,1,2,duplex,445000,0,29-07-2017,3.4,147,41,2,1,1,1775,59,,-37.79818,144.92685
87,4773,82,3,3,2,duplex,1250000,0,22-05-2016,3.8,4,68,2,2,2,0,,2003,-37.8435,144.9415
88,8567,5,5,2,5,other,1480000,0,13-05-2017,13.8,4,5,5,3,4,725,201,1980,-37.8712,144.8107
89,2604,45,1,1,4,other,2300000,1,27-11-2016,3.5,2,31,4,2,1,197,,,-37.7828,144.9832
90,10708,57,8,3,5,other,1475000,1,08-07-2017,12.3,46,49,5,2,3,548,157,1920,-37.90403,145.08118
91,1846,31,9,3,2,other,1262000,1,16-04-2016,9.3,19,28,4,2,2,464,272,2016,-37.8901,145.0224
92,1581,25,7,3,3,other,1430000,1,12-11-2016,7.8,84,24,3,2,2,244,,,-37.8446,145.068
93,577,13,7,3,5,other,2450000,1,28-05-2016,9.7,9,12,4,2,2,981,260,1960,-37.8058,145.0627
94,33,1,1,1,1,duplex,470000,1,26-07-2016,2.5,2,1,1,1,1,0,50,2013,-37.8055,144.9961
95,8135,74,5,2,3,other,1410000,0,20-05-2017,8.4,36,62,3,2,2,315,,,-37.8496,144.8868
96,5090,85,4,1,2,duplex,432000,1,10-09-2016,11.2,29,71,2,1,1,137,,,-37.7241,145.0114
97,10371,63,7,3,4,other,2258000,1,27-05-2017,7.3,3,54,4,1,2,836,173,1910,-37.79702,145.05352
98,11249,219,19,1,3,other,700000,1,12-08-2017,16.5,12,147,3,2,4,673,,1980,-37.67558,144.8976
99,2697,47,11,2,2,duplex,615000,1,16-04-2016,6.4,31,42,2,1,3,207,,1960,-37.7975,144.8855
100,12169,207,19,2,2,duplex,360000,0,29-07-2017,31.7,10,141,2,1,1,143,112,1999,-37.57063,144.70693
101,6618,108,15,1,3,other,710000,1,19-11-2016,15,27,84,3,1,1,616,115,1960,-37.7306,145.0854
102,4523,78,13,1,3,townhouse,770000,1,11-02-2017,11.5,10,44,3,2,2,272,138,2012,-37.7182,144.9244
103,7487,14,7,3,2,other,1900000,1,08-04-2017,9.2,41,13,2,1,2,667,130,1955,-37.7926,145.0842
104,4543,79,8,5,3,other,981000,1,03-12-2016,14.7,21,65,3,1,2,646,,,-37.9167,145.0855
105,5158,85,4,1,3,duplex,470000,1,18-03-2017,11.2,43,71,3,1,2,159,97,1970,-37.7277,145.0248
106,5655,90,6,3,3,other,2285000,1,15-10-2016,3.3,7,74,3,2,2,221,135,1890,-37.8416,144.9959
107,11997,167,27,1,2,duplex,503000,1,29-07-2017,19.6,29,113,2,2,2,214,115,2000,-37.65151,145.02815
108,719,15,9,3,4,other,1328000,1,10-09-2016,13,19,14,3,2,2,610,112,1940,-37.9291,145.0472
109,4414,77,4,1,2,other,790000,0,10-09-2016,5.5,28,64,2,1,1,136,78,2000,-37.7651,145.0027
110,146,5,5,2,4,other,1780000,0,04-06-2016,13.8,4,5,4,3,6,1057,220,1962,-37.8681,144.819
111,3954,68,11,2,2,townhouse,400000,0,24-09-2016,8.7,14,8,2,1,2,54,85,2000,-37.774,144.8797
112,1096,19,12,3,2,other,1550000,0,12-11-2016,11.2,21,18,2,2,2,404,,,-37.9104,145.002
113,6203,99,14,4,4,other,990000,0,06-08-2016,13.8,12,78,4,2,2,652,189,1973,-37.7573,145.0994
114,12663,21,20,1,2,other,911000,0,16-09-2017,5.2,2,20,2,1,1,132,77,1905,-37.7697,144.96866
115,11227,245,14,4,5,other,2330000,1,12-08-2017,15.5,12,165,5,2,2,862,,,-37.75571,145.15521
116,2241,39,9,3,3,other,1750000,0,19-11-2016,8.5,21,36,3,2,2,517,207,1900,-37.8813,145.0063
117,5563,89,3,3,2,duplex,1360000,1,22-05-2016,2.1,24,73,2,1,2,0,,,-37.8335,144.9611
118,5315,86,1,1,3,other,1346000,1,10-12-2016,2.6,1,72,3,1,0,187,,,-37.8169,144.996
119,9674,78,13,1,2,townhouse,790000,1,17-06-2017,11.2,128,44,2,2,1,208,127,2010,-37.71679,144.90901
120,12765,63,20,3,2,other,1325000,0,16-09-2017,7.3,3,54,2,1,2,422,88,1940,-37.79938,145.05662
121,11343,166,26,4,4,other,1054000,1,15-07-2017,18,12,112,4,3,2,791,230,1974,-37.71296,145.13773
122,3267,55,15,4,2,other,570000,1,27-11-2016,10.5,134,48,2,1,3,428,,,-37.7355,145.0573
123,6297,100,4,1,2,duplex,571750,0,18-06-2016,6.5,19,79,2,1,1,0,,2012,-37.7588,145.0179
124,4308,75,2,2,3,duplex,600000,0,14-05-2016,11.2,12,2,3,2,1,164,,,-37.7479,144.8868
125,6748,110,2,2,3,townhouse,1300000,0,25-02-2017,9.1,12,38,3,3,1,593,205,2016,-37.7584,144.8968
126,5816,93,3,3,1,duplex,335000,0,13-08-2016,6.1,118,76,1,1,0,0,,2013,-37.8682,144.9782
127,4012,70,3,3,1,duplex,400000,1,08-10-2016,4.1,22,3,1,1,1,0,,,-37.8522,144.9678
128,12646,145,20,3,5,other,3778000,1,16-09-2017,17.3,21,96,5,4,4,1254,465,1980,-37.97775,145.02754
129,4841,83,6,3,2,other,1500000,0,17-09-2016,4.5,8,69,2,1,2,222,108,1930,-37.8501,144.9995
130,12504,172,20,7,4,other,780000,1,09-09-2017,45.9,47,117,4,3,2,20200,189,1985,-37.49674,144.62618
131,1392,22,13,1,2,duplex,320000,0,03-12-2016,5.9,2,21,2,1,1,0,,1980,-37.7514,144.9288
132,9754,246,10,4,4,other,1208000,1,17-06-2017,17.2,43,145,4,2,2,785,,,-37.86343,145.18542
133,2513,43,4,1,3,other,1055000,1,27-06-2016,5.8,6,4,3,1,2,382,140,1950,-37.7696,145.0188
134,598,14,7,3,3,other,1450000,0,04-03-2017,9.2,3,13,3,1,2,665,124,1950,-37.7862,145.0781
135,3350,58,15,4,2,duplex,480000,0,03-09-2016,7.9,27,50,2,1,1,0,,,-37.77,145.0472
136,9418,14,7,3,4,other,2444000,1,17-06-2017,9.7,45,13,4,2,2,1011,,,-37.79486,145.08728
137,2327,40,3,3,2,duplex,570000,1,26-07-2016,7.7,28,37,2,1,1,0,50,1940,-37.8831,144.9855
138,7574,19,12,3,2,townhouse,1470000,1,29-04-2017,11.2,42,18,2,1,1,238,,,-37.8985,145.0048
139,4066,72,2,2,4,other,1530000,1,10-09-2016,6.9,3,60,3,2,1,431,152,1906,-37.7702,144.9268
140,13221,182,20,5,3,other,770000,1,23-09-2017,25.2,264,123,3,1,4,533,,,-37.98433,145.17041
141,5333,86,1,1,3,other,1420000,1,14-05-2016,2.6,3,72,3,1,0,198,119,1890,-37.8225,145.0007
142,2177,37,14,4,3,other,1391000,1,23-04-2016,13.9,43,34,3,1,1,764,175,1965,-37.7934,145.1207
143,11462,77,4,1,3,other,1800000,0,15-07-2017,5.3,28,64,3,1,2,771,,1950,-37.76631,145.01699
144,11747,192,8,4,2,duplex,611000,1,22-07-2017,14.2,223,131,2,1,1,161,82,1970,-37.8837,145.11526
145,6812,113,1,1,2,other,1005000,0,03-12-2016,3.5,1,72,2,1,0,0,,,-37.8301,145.0103
146,11229,99,14,4,5,other,1410000,0,12-08-2017,12.4,12,78,5,2,2,648,250,1975,-37.77033,145.1214
147,2862,48,7,3,4,other,2000000,0,28-08-2016,9.2,22,43,3,2,4,401,,,-37.8583,145.0726
148,952,16,9,3,4,townhouse,1120000,0,28-05-2016,13.9,21,15,3,2,2,209,,,-37.9213,145.0565
149,2641,46,2,1,2,other,845000,1,18-03-2017,4.4,2,41,2,1,1,0,,1910,-37.7838,144.9273
150,1726,28,9,3,2,duplex,625000,1,07-11-2016,11.4,46,27,2,1,1,78,,,-37.8967,145.0627
151,12136,85,4,1,2,townhouse,672000,1,29-07-2017,12,19,71,2,1,1,243,120,2012,-37.71045,145.0018
152,12661,19,20,3,3,townhouse,1960000,0,16-09-2017,10.5,21,18,3,2,2,709,36,1960,-37.91414,145.00527
153,10226,264,18,2,4,other,447000,1,27-05-2017,14.8,56,100,4,2,2,704,,,-37.7613,144.75988
154,8818,173,19,2,3,other,625000,1,01-07-2017,12.9,81,45,3,1,2,544,,,-37.68541,144.88471
155,10141,251,10,4,4,other,1258000,1,27-05-2017,13.4,43,151,4,1,2,769,,,-37.83998,145.15198
156,7056,120,15,4,2,townhouse,690000,0,25-02-2017,10.6,27,35,2,1,1,110,88,2010,-37.7489,145.07
157,9528,41,2,2,2,duplex,580000,1,17-06-2017,7.5,12,38,2,1,1,921,84,1970,-37.74904,144.90668
158,13257,78,20,1,3,townhouse,763000,1,23-09-2017,11.2,128,44,3,2,2,220,,,-37.71467,144.91997
159,312,8,2,2,3,other,1000000,0,12-11-2016,5.9,10,8,3,2,2,440,120,1955,-37.7746,144.9031
160,10579,143,21,4,5,other,900000,1,08-07-2017,23.2,142,95,5,2,2,942,,,-37.85721,145.26305
161,2193,37,14,4,4,other,1810000,1,28-05-2016,13.9,3,34,4,2,4,769,240,1970,-37.7781,145.1337
162,12118,81,13,1,2,duplex,541000,1,29-07-2017,8.5,2,67,2,1,1,133,,,-37.72136,144.92932
163,13311,210,20,2,3,other,600000,1,23-09-2017,15.5,10,122,3,2,2,657,,,-37.71176,144.80271
164,1231,20,12,3,5,other,1450000,0,22-05-2016,10.7,21,19,5,3,2,527,,,-37.9061,145.0238
165,1856,31,9,3,1,duplex,290000,0,27-11-2016,9.3,44,28,1,1,1,0,,1970,-37.8943,145.0145
166,8410,95,18,2,3,other,950000,1,06-05-2017,12.6,80,77,3,1,1,725,,,-37.7918,144.8419
167,4894,84,4,1,3,other,840000,1,06-08-2016,8.8,12,70,3,1,2,647,,,-37.7331,144.988
168,321,8,2,2,4,other,1640000,1,16-04-2016,5.9,47,8,4,3,2,562,204,1890,-37.782,144.903
169,44,2,2,2,2,duplex,500000,0,04-03-2017,13.5,12,2,2,1,1,168,86,2011,-37.7215,144.8864
170,7927,52,12,3,2,townhouse,837000,0,13-05-2017,13.7,21,46,2,2,1,516,92,2007,-37.9365,145.0008
171,5423,86,1,1,3,other,1495000,1,27-11-2016,2.6,1,72,3,2,1,159,,,-37.8195,144.9974
172,4832,83,6,3,2,other,1055000,1,10-12-2016,4.5,1,69,2,1,0,203,85,1900,-37.8557,145.0053
173,8949,206,18,2,3,other,565000,1,01-07-2017,14,78,51,3,1,2,614,110,1975,-37.73074,144.78925
174,7092,123,4,1,4,other,610000,1,12-11-2016,12.4,43,93,4,1,1,465,120,1970,-37.7126,145.03
175,3600,62,7,3,4,other,1950000,0,08-10-2016,5.6,7,53,3,2,2,400,251,2000,-37.8147,145.0438
176,5155,85,4,1,3,other,668000,1,17-09-2016,11.2,12,71,3,2,1,618,149,1965,-37.6989,145.0212
177,874,16,9,3,3,other,1300000,1,17-09-2016,13.9,46,15,3,1,4,746,,,-37.9198,145.0787
178,6882,117,2,2,3,other,810000,0,22-08-2016,9.8,71,38,3,1,2,368,,,-37.7527,144.8851
179,5786,93,3,3,2,other,875000,1,06-08-2016,6.1,41,76,2,1,0,94,,,-37.867,144.991
180,8100,72,2,2,4,other,1515000,1,08-04-2017,6.9,2,60,4,2,3,574,203,1910,-37.7644,144.9061
181,9034,16,9,3,3,other,1315000,1,03-06-2017,13.8,21,15,3,1,2,617,353,,-37.92284,145.06423
182,10207,34,13,1,3,other,1090000,1,27-05-2017,6.7,2,32,3,2,1,512,,,-37.75236,144.97587
183,6807,112,13,1,2,townhouse,771000,0,28-05-2016,4.5,2,86,2,2,2,0,,,-37.7736,144.9725
184,5928,95,18,2,2,other,710000,1,03-12-2016,12.6,12,77,2,1,0,457,,,-37.7878,144.8369
185,2560,45,1,1,2,townhouse,930000,1,03-09-2016,3.5,2,31,2,3,0,2778,3558,,-37.7903,144.9859
186,4677,81,13,1,3,other,670000,1,25-02-2017,9.9,19,67,3,1,1,596,145,1949,-37.721,144.9514
187,3020,52,12,3,3,other,1003500,1,03-12-2016,13.7,43,46,3,1,2,289,109,1998,-37.9338,145.0226
188,10149,20,12,3,4,other,2300000,0,27-05-2017,10.3,1,19,4,3,2,592,,,-37.92173,145.01436
189,9408,10,8,3,4,other,1680000,1,17-06-2017,10.2,3,9,4,3,3,726,194,1958,-37.85842,145.10288
190,2267,40,3,3,2,duplex,1050000,0,04-03-2017,7.7,25,37,2,2,2,2381,,2009,-37.8831,144.9841
191,10553,127,11,2,3,duplex,597000,0,27-05-2017,6.4,33,56,3,1,1,126,120,1995,-37.80962,144.86877
192,12113,78,13,1,4,other,1260000,1,29-07-2017,11.2,13,44,4,2,2,656,204,1960,-37.71652,144.91211
193,13307,98,20,3,4,other,1910000,1,23-09-2017,10.2,9,59,4,3,2,416,256,2014,-37.82671,145.11068
194,11247,218,31,2,3,other,455000,1,12-08-2017,14.7,81,133,3,1,1,610,125,1980,-37.88632,144.67582
195,608,14,7,3,4,other,1572000,1,07-05-2016,9.2,19,13,4,2,2,662,330,1965,-37.798,145.1007
196,13441,174,20,1,3,other,842000,1,26-08-2017,16.1,111,99,3,2,2,873,,1985,-37.69324,145.1023
197,8173,77,4,1,2,other,1050000,1,29-04-2017,5.5,3,64,2,1,1,181,85,1925,-37.7659,144.9903
198,3380,58,15,4,2,duplex,475000,0,12-11-2016,7.9,27,50,2,1,1,0,,1960,-37.7707,145.0471
199,313,8,2,2,3,other,1435000,1,12-11-2016,5.9,2,8,3,2,2,532,147,1950,-37.7737,144.904
200,9382,105,5,2,3,other,1494000,1,03-06-2017,6.8,22,83,3,1,0,333,,,-37.8649,144.89524
201,6085,97,18,2,3,other,590000,1,18-06-2016,13.5,31,77,3,2,4,697,,,-37.7896,144.8018
202,8261,84,4,1,3,duplex,715000,1,08-04-2017,8.8,19,70,3,1,1,210,,1996,-37.7317,145.0083
203,1270,21,13,1,3,other,1055000,1,07-05-2016,5.2,2,20,3,1,1,324,,1930,-37.7653,144.9586
204,13000,177,20,3,3,other,2585000,1,19-08-2017,16,21,120,3,2,1,703,,,-37.95457,145.05387
205,12698,35,20,1,3,other,841000,1,16-09-2017,6.7,88,32,3,1,3,533,150,1960,-37.72631,144.96274
206,13077,127,20,2,3,other,1100500,1,19-08-2017,6.4,33,56,3,2,2,427,119,1936,-37.79105,144.87914
207,3675,62,7,3,5,other,3280000,0,27-11-2016,5.6,9,53,4,5,2,480,147,1979,-37.8117,145.0449
208,3639,62,7,3,4,other,2265000,1,18-03-2017,5.6,3,53,4,1,1,650,242,1930,-37.8098,145.022
209,2119,36,1,1,2,duplex,860000,0,30-07-2016,1.6,3,33,2,2,1,0,114,1920,-37.8035,144.985
210,8585,115,16,1,1,duplex,490000,1,29-04-2017,1.8,19,88,1,1,1,0,51,2009,-37.7998,144.9689
211,12606,89,20,3,3,other,1210000,0,09-09-2017,1.9,4,73,3,2,,149,,,-37.83474,144.96917
212,12511,232,20,4,4,other,1790000,1,09-09-2017,16.7,18,157,4,2,2,742,164,1970,-37.87738,145.18083
213,5460,87,15,4,2,other,430000,1,16-04-2016,11.4,19,35,2,1,1,164,83,1980,-37.7362,145.079
214,11213,97,18,2,3,other,650000,0,12-08-2017,10.5,19,77,3,1,2,691,,,-37.78825,144.80099
215,9761,218,31,2,3,other,830000,0,17-06-2017,14.7,81,133,3,2,2,1025,195,1970,-37.90188,144.65138
216,3039,52,12,3,5,other,1805000,1,10-09-2016,13.7,21,46,4,2,2,700,224,1950,-37.9419,145.0156
217,12285,164,20,4,3,townhouse,1171000,1,03-09-2017,16.1,41,110,3,2,2,247,,,-37.79056,145.17512
218,5198,85,4,1,3,other,692500,1,23-04-2016,11.2,29,71,3,2,2,803,,,-37.7086,145.0313
219,10137,146,23,6,4,other,667000,1,27-05-2017,35.2,69,97,4,2,2,792,180,1977,-38.03296,145.33439
220,8961,96,18,2,3,other,780000,0,01-07-2017,10.5,38,77,3,1,2,690,,,-37.77176,144.84062
221,1756,28,9,3,2,duplex,656000,1,18-06-2016,11.4,98,27,2,1,1,103,82,1970,-37.8873,145.0559
222,11333,162,17,5,3,townhouse,802000,1,15-07-2017,22.2,21,108,3,2,2,251,185,1998,-37.98146,145.11715
223,6189,98,7,3,2,duplex,778500,1,28-05-2016,11.2,41,59,2,1,1,170,78,1960,-37.8186,145.0892
224,12734,232,20,4,3,other,1750000,0,16-09-2017,16.7,259,157,3,1,0,727,,,-37.8763,145.17166
225,9519,166,26,4,4,other,861000,1,17-06-2017,18,132,112,4,2,2,781,,1970,-37.71021,145.16651
226,499,12,3,3,2,duplex,474000,1,22-05-2016,6.6,19,11,2,1,1,0,59,1970,-37.8667,144.9917
227,7786,37,14,4,4,other,1480000,1,08-04-2017,13.9,58,34,4,2,2,656,,1965,-37.7833,145.1302
228,2930,49,13,1,4,other,1217500,1,24-09-2016,13,12,44,4,3,2,693,192,2014,-37.7111,144.9275
229,2917,49,13,1,3,other,765500,1,18-06-2016,13,12,44,3,2,2,780,180,1970,-37.6955,144.9389
230,4236,74,5,2,3,other,923000,1,15-10-2016,8.4,32,62,3,1,0,221,118,1900,-37.8415,144.8852
231,8000,57,8,3,2,other,720000,0,29-04-2017,13,21,49,2,1,2,795,,,-37.9087,145.0799
232,640,14,7,3,3,other,1480000,0,15-10-2016,9.2,3,13,3,1,4,605,116,1950,-37.7951,145.0696
